0,,Артикул,Наименование,"РРЦ Wildberries, руб","РРЦ, руб","Кол-во в упаковке, шт","Вес, кг","Объем, м3",Штрихкод
68,,PLM20H-330B/1,"Газонокосилка аккум. PLM20H-330B/1 (20В, шир кош 330мм, выс. кош 25-75мм, трав 30л. 1АКБ 4Ач, ЗУ)",14425,13480,0,0,0,
69,,PLM20H-380A,"Газонокосилка аккум бесщет PLM20H-380A SOLO (40В(20В+20В), шир кош380мм,6ур кошен(25-75мм),трав 40л)",13475,12590,0,14.28,0.138,
70,,PBO20H-300A,"Воздуходувка аккумуляторная PBO20H-300A SOLO (20 В, произв-ть 2,8 м³/мин, 0-18000 об/мин,)",2910,2715,0,0,0,6926619728279
71,,PHE20H-450A,"Кусторез аккумуляторный PHE20H-450A Solo (20В, 1100 ход/мин, длина ножей 450 мм)",5100,4765,4,2.58,0.03,6926619728248
72,,,Опрыскиватели,,,,,,
73,,PSY20H-15A,"Аккумуляторный опрыскиватель PSY20H-15A (20В, 0,45 МПа, объем резевуара 15 л, насадки в компл.)",6515,6085,0,5.72,0.061,6926619713671
74,,PTR20H-250A,"Триммер аккумуляторный PTR20H-250A SOLO (20В, шир.кош-ия 250, леска 1,6мм)",3775,3525,0,0,0,6926619728583
75,,PKE20H-405A,"Пила цепная аккумуляторная PKE20H-405A Solo (40В (20В+20В), 405мм, упр натяж цепи, автоподача масла)",12100,11305,2,4.6,0.03,6971810444862
76,,,Фрезеры,,,,,,
77,,PER20H-6A,"Аккумуляторный фрезер PER20H-6A SOLO (20В, рег-ка 12000-28000об/мин, патрон 1/4"")",8490,7930,0,0,0,
78,,,Рубанки,,,,,,
79,,PEP20H-82A,"Аккумуляторный бесщеточный рубанок PEP20H-82A SOLO (20В,16000 об/мин, нож 82мм, рег-ка 0-2мм)",8620,8055,0,0,0,6926619727746
80,,,Шлифмашины ленточные,,,,,,
81,,,Шлифмашины ленточные,,,,,,
82,,PBS20H-75B,"Аккумуляторная ленточная шлифмашина PBS20H-75B SOLO (20В, 457х76 мм,120-380м/мин)",7620,7120,0,2.74,0.008,6926619727777
83,,PBS20H-75A,"Аккумуляторная бесщеточная ленточная шлифмашина PBS20H-75A SOLO (20В, 457х76 мм,120-380м/мин)",9215,8610,0,2.64,0.008,6926619727760
84,,,Bluetooth-радио,,,,,,
85,,PJS20H-10A,"Аккумуляторное bluetooth-радио PJS20H-10A SOLO (20В,85.7-108 МГц, 2х10 Вт, USB 2.0, выход: 5В, 2.1А)",4540,4240,0,0,0,6926619728347
86,,PSB20H-13B + PH20-4.0,"Дрель удар. бесщет.аккум. PSB20H-13B SOLO(20В,75Нм,метал. патр13мм)+Аккум.PH20-4.0 (20В, 4Ач,Li-Ion)",0,0,0,0,0,
87,,,Шлифмашины эксцентриковые,,,,,,
88,,PDS20H-125A,"Аккум. эксцентрик. шлифмаш. PDS20H-125A SOLO (20В, 125мм, Li-Ion, 6000-11000об/мин,коробка)",3345,3125,8,1.26,0.004,6926619727784
89,,,Вентиляторы,,,,,,
90,,PJF20H-250A,"Вентилятор аккумуляторный PJF20H-250A (20В/220В, 1200/1500/1800 об/мин, угол наклона до 225°)",6620,6185,2,4.57,0.059,6926619728187
91,,,Фонари,,,,,,
92,,PWL20H-3A,"Аккумуляторный фонарь PWL20H-3A Solo (20В, 3Вт, 300Лм, поворотная головка, Power LED)",1035,965,0,0.38,0.002,6926619724370
93,,PWL20H-20A,"Аккумуляторный фонарь PWL20H-20A Solo (20В, 10/20Вт, 900/1900 лм, вращ. 360°, LED)",2860,2670,5,1.9,0.007,6971810444879
94,,,Краскораспылители,,,,,,
95,,PSG20H-900A,"Краскораспылитель аккумуляторный PSG20H-900A SOLO (20 В, 700мл/мин, емк. 900мл, давл 0,1-0,2 бар)",4490,4195,4,1.64,0.011,6971810444831
96,,,Миксеры,,,,,,
97,,PHM20H-120A,"Миксер аккумуляторный PHM20H-120A P.I.T.(20В, 0-420/0-710об/мин, рег. оборотов, венчик120мм)",12700,11865,2,5.26,0.025,6971810444930
98,,,Пылесосы,,,,,,
99,,PVC20H-0.5A,"Пылесос PVC20H-0.5A Solo (20В, пылесборник 0,5л, пропускная способность 1,2м³/мин)",4455,4160,4,1.68,0.012,6971810444886
100,,,Степлеры,,,,,,
101,,PST20H-30/625A,"Степлер аккумуляторный PST20H-30/625A Solo (20В, ск-ть 20шт/мин, магаз.100шт, LED-подсветка)",7615,7115,4,2.74,0.007,6971810444855
102,,PST20H-15/1013A,"Степлер аккумуляторный PST20H-15/1013A Solo (20В, ск-ть 20шт/мин, магаз.100шт)",4945,4620,5,1.84,0.005,6971810444848
103,,,Реноваторы,,,,,,
104,,PMT20H-035A,"Аккум. реноватор PMT20H-035A SOLO (20В, 5000-19000кол/мин, угол 3,5°, коробка)",3705,3460,10,1.16,0.002,6971810444473
105,,PMT20H-035A/1,"Аккум. реноватор PMT20H-035A/1  (20В, 5000-19000кол/мин, угол 3,5°, 1акб Li-Ion 2Ач, ЗУ 3А, кейс)",7325,6845,6,2.96,0.01,6971810444732
106,,, Шуруповерты ,,,,,,
107,,,Шуруповерты Серия PID,,,,,,
108,,PID03003-20M2/BL,"Шуруповерт бесщеточный PID03003-20M2/BL (18В, акб 1,5 Ач, 32Нм, с функцией удара, фикс. шпинделя)",6915,6460,5,2.36,0.006,6971810441632
109,,PID03002-16M2/BL,"Шуруповерт бесщеточный PID03002-16M2/BL (14,4В, акб 1,5 Ач, 30Нм, с функцией удара, фикс. шпинделя)",6100,5700,5,2.26,0.007,6971810441625
110,,PID03001-12M2/BL,"Шуруповерт бесщеточный PID03001-12M2/BL (12В, акб 1,5 Ач, 28Нм, с функцией удара ,фикс. шпинделя)",5475,5115,5,2.18,0.065,6971810441601
111,,,Шуруповерты Серия D,,,,,,
112,,PSR24-D1,"Шуруповерт PSR 24-D1 СТАНДАРТ (24В, 2 Li акк. 1,5Ач,2 ск,40Нм,быстр.зарядка,кейс) P.I.T.(5шт)",5700,5325,5,2.6,0.007,6971810440284
113,,PSR18-D1,"Шуруповерт PSR 18-D1 СТАНДАРТ (18В, 2 Li акк.1,5Ач,2 ск,30Нм,быстр.зарядка,кейс) P.I.T.(5шт)",5210,4865,5,2.54,0.006,6971810440246
114,,PSR14.4-D1,"Шуруповерт PSR 14.4-D1 СТАНДАРТ (14,4В, 2 Li акк.1,5Ач,2 ск,26Нм,быстр.зарядка,кейс) P.I.T.(5шт) ",4115,3845,5,2.4,0.007,6971810440222
115,,PSR12-D1,"Шуруповерт PSR 12-D1 СТАНДАРТ (12В, 2 Li акк.1,5Ач,2 ск,22Нм,быстр.зарядка,кейс) P.I.T.(5шт)",3580,3345,5,2.26,0.006,6971810440215
116,,PSR12-D,"Шуруповерт PSR 12-D СТАНДАРТ (12В, 2 Li акк.1,5Ач,2 ск,20Нм,быстр.зарядка,кейс) P.I.T.(5шт)",3155,2945,5,1.98,0.004,6971810440208
117,,PSR18-D1F,"Шуруповерт PSR 18-D1F (18В, 2 Li акк.1,5Ач,2 ск,30Нм,быстр.зарядка,кейс, удар,фикс.шпинд)",4780,4465,5,2.52,0.007,6971810441779
118,,PSR14.4-D1F,"Шуруповерт PSR 14.4-D1 F (14В, 2 Li акк.1,5Ач,2 ск,28Нм,быстр.зарядка,кейс, удар,фикс.шпинд)",4485,4190,5,2.44,0.007,6971810441762
119,,PSR18-D1 NEW,"Шуруповерт PSR 18-D1 NEW (18В, 2 Li акк.1,5Ач,2 ск,30Нм,быстр.зарядка,кейс) P.I.T.",0,0,0,0,0,
120,,PSR18-D4,"Дрель аккумуляторная бесщеточная PSR18-D4 (20В, 2 Li акк 1,5 Ач, 40Нм, ударн, фикс. шпинделя, кейс)",6980,6520,5,2.36,0.006,6926619728200
121,,PSR18-D4 Promo,"Дрель аккумуляторная бесщеточная PSR18-D4 Promo (20В, 1 Li акк 1,5 Ач, 40Нм,ударн, фикс. шпинд, кор)",5110,4775,8,1.64,0.004,6926619728217
122,,PSR18-D3,"Дрель аккумуляторная PSR18-D3 (20В, 2 Li акк.1,5Ач,2 ск,30Нм,быстр.зарядка,кейс)",4830,4510,5,2.36,0.006,6926619728224
123,,PSR18-D3 Promo,"Дрель аккумуляторная PSR18-D3 Promo (20В, 1 Li акк.1,5Ач,2 ск,30Нм,быстр.зарядка,коробка)",3040,2840,8,1.68,0.004,6926619728231
124,,_PSR12-D,"Шуруповерт PSR 12-D (PROMO, 12В, 2 Li акк.1,5Ач,2 ск,20Нм,быстр.зарядка, коробка) P.I.T.",3210,3000,8,1.5,0.003,6971810444817
125,,,Шуруповерты Серия С,,,,,,
126,,PSR24-C,"Шуруповерт PSR24-C МАСТЕР (24В, 2 Li акк.1,5Ач,2 ск,40Нм,быстр.зарядка,кейс,фикс.шпинделя) (5шт)",5845,5460,5,2.62,0.007,6971810440307
127,,PSR20-C2,"Шуруповерт PSR20-C2 МАСТЕР (20В, 2 Li акк.2Ач,2 ск,60Нм,металл.патрон, ударный, фикс.шпинделя)(5шт)",7970,7445,5,2.96,0.008,6971810440291
128,,PSR20-C1,"Шуруповерт PSR20-C1 МАСТЕР (20В, 2 Li акк.1,5Ач,2 ск,32Нм,съемный патрон,фикс.шпинделя)",6260,5850,5,2.6,0.007,6971810440260
129,,PSR12-C8,"Шуруповерт PSR12-C8 МАСТЕР (12В, 2 Li акк.1,5Ач,2 ск,25Нм,съемный патрон,фикс.шпинделя) ",4645,4340,5,1.96,0.006,6971810440192
130,,PSR20-C,"Шуруповерт PSR20-C МАСТЕР (18В, 2 Li акк.1,5Ач,2 ск,32Нм,быстр.зарядка,кейс,фикс.шпинделя) (5шт)",5525,5160,5,2.44,0.006,6971810440253
131,,PSR12-C6,"Шуруповерт PSR12-C6  МАСТЕР (12В, 2 Li акк.1,5Ач,2 ск,25Нм,быстр.зарядка,кейс,фикс.шпинделя) (5шт)",3985,3720,5,1.96,0.005,6971810440178
132,,PSR12-C7,"Шуруповерт PSR12-C7  МАСТЕР (12В, 2 Li акк.1,5Ач,2 ск,25Нм,быстр.зар,кейс,фикс.шпинд.Нов.диз ) (5шт)",4225,3945,5,2.2,0.007,6971810440185
133,,PSR16-C,"Шуруповерт PSR16-C МАСТЕР (14В, 2 Li акк.1,5Ач,2 ск,28Нм,быстр.зарядка,кейс,фикс.шпинд. Н диз) (5шт)",4670,4360,5,2.38,0.007,6971810440239
134,,,Отвертки аккумуляторные,,,,,,
135,,PD03P3.6-006,"Отвертка аккумуляторная PD03P3.6-006 (3.5Нм, 1.3Ач, биты 15шт, пов. рук,USB заряд, фонарик,кейс)",1690,1575,20,0.7,0.002,6971810442714
136,,PES3.6P-24A,"Отвертка аккумуляторная PES3.6P-24A (2Нм, 1.3Ач, биты 23шт, USB заряд)",2590,2420,20,0.48,0.001,6971810445012
137,,,Граверы,,,,,,
